ID,PT,FREQ,SYMBOL,NAME,FREQ_REAL,SYMBOL_REAL,COMMENT
184,042E,11156,2592,,,,
185,042E,11159,2222,,,,
186,042E,11169,3333,,,,
187,042E,11172,3700,,,,
188,042E,11180,29750,,,,
189,042E,11183,5000,,,,
190,042E,11191,3333,,,,
191,042E,11265,30000,,,,
192,042E,11305,30000,,,,
193,042E,11425,30000,,,,
194,042E,11458,3200,,,,
195,042E,11461,6800,,,,
196,042E,11464,11000,,,,
197,042E,11469,6800,,,,
198,042E,11470,7400,,,,
199,042E,11472,6800,,,,
200,042E,11475,3200,,,,
201,042E,11478,6800,,,,
202,042E,11480,7400,,,,
203,042E,11480,3200,,,,
204,042E,11486,6800,,,,
205,042E,11488,3200,,,,
206,042E,11490,7400,,,,
207,042E,11493,3333,,,,
208,042E,11496,4100,,,,
209,042E,11500,2000,,,,
210,042E,11505,5925,,,,
211,042E,11506,4100,,,,
212,042E,11513,2500,,,,
213,042E,11514,5925,,,,
214,042E,11516,7500,,,,
215,042E,11519,3333,,,,
216,042E,11523,2720,,,,
217,042E,11523,5925,,,,
218,042E,11542,2962,,,,
219,042E,11545,2210,,,,
220,042E,11548,2160,,,,
221,042E,11554,8888,,,,
222,042E,11558,30000,,,,
223,042E,11562,3200,,,,
224,042E,11565,5800,,,,
225,042E,11568,8888,,,,
226,042E,11570,3600,,,,
227,042E,11573,3600,,,,
228,042E,11576,2222,,,,
229,042E,11580,3333,,,,
230,042E,11584,2592,,,,
231,042E,11588,4100,,,,
232,042E,11591,4166,,,,
233,042E,11594,2962,,,,
234,042E,11597,6200,,,,
235,042E,11598,3333,,,,
236,042E,11600,6200,,,,
237,042E,11603,8888,,,,
238,042E,11606,6200,,,,
239,042E,11606,2222,,,,
240,042E,11609,2962,,,,
241,042E,11609,2222,,,,
242,042E,11620,2222,,,,
243,042E,11621,2500,,,,
244,042E,11623,3330,,,,
245,042E,11624,3333,,,,
246,042E,11626,6666,,,,
247,042E,11627,9876,,,,
248,042E,11628,4100,,,,
249,042E,11631,4100,,,,
250,042E,11632,7200,,,,
251,042E,11634,2300,,,,
252,042E,11635,4100,,,,
253,042E,11637,2222,,,,
254,042E,11640,5925,,,,
255,042E,11643,2300,,,,
256,042E,11646,6600,,,,
257,042E,11646,4100,,,,
258,042E,11649,2500,,,,
259,042E,11653,2962,,,,
260,042E,11655,4100,,,,
261,042E,11656,2500,,,,
262,042E,11658,5000,,,,
263,042E,11661,3700,,,,
264,042E,11676,24444,,,,
265,042E,11681,2222,,,,
266,042E,11685,2210,,,,
267,042E,11688,4166,,,,
268,042E,11691,5925,,,,
269,042E,11767,15000,,,,
270,042E,11789,20000,,,,
271,042E,11794,30000,,,,
272,042E,11837,30000,,,,
273,042E,11853,25000,,,,
274,042E,11880,20000,,,,
275,042E,11883,4800,,,,
276,042E,11891,10600,,,,
277,042E,11898,952,,,,
278,042E,11916,30000,,,,
279,042E,11958,27500,,,,
280,042E,11977,27500,,,,
281,042E,11983,2962,,,,
282,042E,11999,11666,,,,
283,042E,12009,4444,,,,
284,042E,12015,27500,,,,
285,042E,12034,27500,,,,
286,042E,12053,27500,,,,
287,042E,12073,27500,,,,
288,042E,12083,13750,,,,
289,042E,12095,4800,,,,
290,042E,12103,8333,,,,
291,042E,12111,27500,,,,
292,042E,12149,27500,,,,
293,042E,12188,27500,,,,
294,042E,12196,10400,,,,
295,042E,12209,10000,,,,
296,042E,12213,5833,,,,
297,042E,12219,6500,,,,
298,042E,12228,8400,,,,
299,042E,12245,27500,,,,
300,042E,12265,27500,,,,
301,042E,12298,4800,,,,
302,042E,12310,15000,,,,
303,042E,12329,6666,,,,
304,042E,12336,5520,,,,
305,042E,12345,30000,,,,
306,042E,12346,9600,,,,
307,042E,12356,7100,,,,
308,042E,12379,30000,,,,
309,042E,12380,27500,,,,
310,042E,12422,30000,,,,
311,042E,12423,27500,,,,
312,042E,12455,2960,,,,
313,042E,12458,30000,,,,
314,042E,12515,2451,,,,
315,042E,12524,30000,,,,
316,042E,12540,4444,,,,
317,042E,12541,5925,,,,
318,042E,12552,2222,,,,
319,042E,12553,22500,,,,
320,042E,12554,7500,,,,
321,042E,12560,2222,,,,
322,042E,12563,2222,,,,
323,042E,12563,7500,,,,
324,042E,12570,3300,,,,
325,042E,12572,7500,,,,
326,042E,12573,2500,,,,
327,042E,12576,5000,,,,
328,042E,12579,2480,,,,
329,042E,12588,2222,,,,
330,042E,12589,22500,,,,
331,042E,12590,2222,,,,
332,042E,12590,5200,,,,
333,042E,12605,34285,,,,
334,042E,12610,20830,,,,
335,042E,12627,2962,,,,
336,042E,12629,12500,,,,
337,042E,12630,8888,,,,
338,042E,12632,3333,,,,
339,042E,12636,2500,,,,
340,042E,12639,4444,,,,
341,042E,12654,4444,,,,
342,042E,12685,30000,,,,
343,042E,12685,27500,,,,
344,042E,12716,10000,,,,
345,042E,12724,7500,,,,
346,042E,12729,30000,,,,
347,042E,12733,7500,,,,
348,042E,18633,22500,,,,
349,042E,18668,22500,,,,
350,042E,18709,12500,,,,
351,042E,19922,15800,,,,
352,040E,3608,5130,,,,
353,040E,3615,5120,,,,
354,040E,3622,5130,,,,
355,040E,3629,5120,,,,
356,040E,3635,5130,,,,
357,040E,3642,5120,,,,
358,040E,3665,15284,,,,
359,040E,3685,15284,,,,
360,040E,3709,5120,,,,
361,040E,3715,5130,,,,
362,040E,3722,5120,,,,
363,040E,3728,5130,,,,
364,040E,3735,5120,,,,
365,040E,3740,1922,,,,
366,040E,3758,5120,,,,
367,040E,3765,5130,,,,
368,040E,3773,5120,,,,
369,040E,3779,5130,,,,
370,040E,3785,5120,,,,
371,040E,3792,5130,,,,
372,040E,3808,5130,,,,
373,040E,3815,5120,,,,
374,040E,3822,5130,,,,
375,040E,3828,5120,,,,
376,040E,3835,5130,,,,
377,040E,3842,5120,,,,
378,040E,3858,5120,,,,
379,040E,3865,5130,,,,
380,040E,3872,5120,,,,
381,040E,3879,5130,,,,
382,040E,3885,5120,,,,
383,040E,3892,5130,,,,
384,040E,3909,5140,,,,
385,040E,3915,5130,,,,
386,040E,3922,5120,,,,
387,040E,3929,5120,,,,
388,040E,3942,5130,,,,
389,040E,3965,5120,,,,
390,040E,3972,5130,,,,
391,040E,3979,5120,,,,
392,040E,3985,5130,,,,
393,040E,3992,5120,,,,
394,040E,4085,15370,,,,
395,040E,10954,1504,,,,
396,040E,10959,8985,,,,
397,040E,10968,7500,,,,
398,040E,10969,850,,,,
399,040E,10973,850,,,,
400,040E,10976,3926,,,,
401,040E,10980,850,,,,
402,040E,10985,4860,,,,
403,040E,11012,1500,,,,
404,040E,11050,7000,,,,
405,040E,11053,3200,,,,
406,040E,11063,1667,,,,
407,040E,11070,2820,,,,
408,040E,11078,2029,,,,
409,040E,11134,7504,,,,
410,040E,11144,2569,,,,
411,040E,11154,3500,,,,
412,040E,11162,1340,,,,
413,040E,11189,4000,,,,
414,040E,11193,1530,,,,
415,040E,11286,1340,,,,
416,040E,11310,19996,,,,
417,040E,11345,29995,,,,
418,040E,11380,29995,,,,
419,040E,11411,1500,,,,
420,040E,11471,4247,,,,
421,040E,11503,8400,,,,
422,040E,11520,2082,,,,
423,040E,11521,15000,,,,
424,040E,11527,4166,,,,
425,040E,11548,4000,,,,
426,040E,11565,2400,,,,
427,040E,11580,4200,,,,
428,040E,11585,15000,,,,
429,040E,11607,12665,,,,
430,040E,11635,30000,,,,
431,040E,11637,32727,,,,
432,040E,11642,2271,,,,
433,040E,11648,1000,,,,
434,040E,11653,2600,,,,
435,040E,11667,6000,,,,
436,040E,12549,7910,,,,
437,040E,12605,30000,,,,
438,040E,12646,34278,,,,
439,040E,12674,8095,,,,
440,040E,12702,5000,,,,
441,040E,12735,23155,,,,
442,039E,10730,30000,,,,
443,039E,10810,34286,,,,
444,039E,10890,30000,,,,
445,039E,10913,2894,,,,
446,039E,10926,1480,,,,
447,039E,10930,30000,,,,
448,039E,10957,7200,,,,
449,039E,10966,7200,,,,
450,039E,10968,2270,,,,
451,039E,11017,7200,,,,
452,039E,11054,25000,,,,
453,039E,11106,9700,,,,
454,039E,11109,7200,,,,
455,039E,11134,3333,,,,
456,039E,11139,1000,,,,
457,039E,11148,6301,,,,
458,039E,11162,7200,,,,
459,039E,11174,4167,,,,
460,039E,11456,5000,,,,
461,039E,11462,5000,,,,
462,039E,11468,5000,,,,
463,039E,11479,7500,,,,
464,039E,11486,4166,,,,
465,039E,11510,4444,,,,
466,039E,11514,2141,,,,
467,039E,11516,2000,,,,
468,039E,11717,4166,,,,
469,039E,11724,7500,,,,
470,039E,11846,29170,,,,
471,039E,12117,30000,,,,
472,039E,12137,30000,,,,
473,039E,12156,30000,,,,
474,039E,12175,30000,,,,
